Label,Japanese,English,Notes,
STR_5_4AC,おとうさんの ハ゜ソコンた゛。,"It's Dad's PC.
It seems pretty powerful.",,
STR_5_4C5,すこ゛く せいのうか゛いい\,,,
STR_5_4D9,ハ゜ソコンらしい。,,,
STR_5_502,たくはいひ゛んか゛\,"A package is sitting here.
I wonder whose it is...",,
STR_5_512,おいてある。,,,
STR_5_522,た゛れからの\,,,
STR_5_52F,たくはいひ゛ん た゛ろう?,,,
,,,,
STR_6_9A,ちちおや\,"Dad:
This is the entrance to Bugsite, a Site Gate.
From here you can visit many places in Bugsite.",,
STR_6_A5,「ここはハ゛ク゛サイトの,,,
STR_6_BB, いりく゛ちて゛ある\,,,
STR_6_CC, サイトケ゛ートた゛。,,,
STR_6_E1, ここから\,,,
STR_6_ED, ハ゛ク゛サイトないの,,,
STR_6_102, いろいろな は゛しょに,,,
STR_6_114, いと゛うて゛きるそ゛。,,,
STR_6_13F,アミテクノエリアの\,Got the Password for Ami Techno Area!,,
STR_6_14F,ハ゜スワート゛を てにいれた!,,,
STR_6_184,ちちおや\,"Dad: 
The first time you use a gate, it’ll require a Password.
You can see your Passwords as items on the Mobile menu.
Once you've memorized it, inspect the computer next to the rightmost gate and enter the Password there.",,
STR_6_18F,「はし゛めて とおる,,,
STR_6_1A3, ケ゛ートには、,,,
STR_6_1B5, ハ゜スワート゛を\,,,
STR_6_1C5, にゅうりょくしないと,,,
STR_6_1DA, とおることか゛\,,,
STR_6_1E9, て゛きないんた゛。,,,
STR_6_1FD, ハ゜スワート゛は\,,,
STR_6_20D, モハ゛イルの,,,
STR_6_21E, アイテムて゛\,,,
STR_6_22C, かくにんて゛きる。,,,
STR_6_240, モハ゛イルは\,,,
STR_6_24E, スタートホ゛タンて゛,,,
STR_6_263, みることか゛\,,,
STR_6_271, て゛きるそ゛。,,,
STR_6_283, ハ゜スワート゛を\,,,
STR_6_293, おほ゛えたら、,,,
STR_6_2A5, いちは゛んみき゛の\,,,
STR_6_2B6, ケ゛ートの よこにある,,,
STR_6_2CC, コンヒ゜ューターを\,,,
STR_6_2DD, しらへ゛て、,,,
STR_6_2EE, ハ゜スワート゛を\,,,
STR_6_2FE, にゅうりょくするんた゛」,,,
STR_6_350,アミテクノエリアへの\,"This is the gate to Ami Techno Area.
Please enter the password.",,
STR_6_361,ケ゛ートて゛す。,,,
STR_6_373,ハ゜スワート゛を\,,,
STR_6_382,にゅうりょくしてくた゛さい,,,
STR_6_428,ハ゜スワート゛か゛ちか゛います。,The password is incorrect.,,
STR_6_45A,このさきは\,Beyond this gate lies Ami Techno Area.,Re-examine the computer after opening the gate.,
STR_6_466,アミテクノエリアへの,,,
STR_6_47A,ケ゛ートになります。,,,
STR_6_4A4,「と゛こにいるんた゛?,"Where are you? I've been locked up in a Bug Shop called Yamaneko.
Come on! Hurry!",These lines are Spiral's for when you try to leave.,
STR_6_4B9, オレは\,,,
STR_6_4C4, アミテクノエリアの,,"This bug shop's name literally means ""wild cat"".",
STR_6_4D8, ヤマネコやという\,,,
STR_6_4E8, ハ゛ク゛ショッフ゜に,,,
STR_6_4FD, とし゛こめられている\,,,
STR_6_50F, はやく、きてくれ!」,,,
STR_6_53A,ハ゜スワート゛を\,"Password confirmed.
Please feel free to pass through.",,
STR_6_549,かくにんしました。,,,
STR_6_55C,と゛うそ゛\,,,
STR_6_568,おとおりくた゛さい。,,,
STR_6_592,アミサファリエリアへの\,"This is the gate to Ami Safari Area.
You don't have the password to open it.",,
STR_6_5A4,ケ゛ートて゛す。,,,
STR_6_5B6,このケ゛ートを ひらくための\,,,
STR_6_5CB,ハ゜スワート゛か゛ありません。,,,
STR_6_5FA,アミラント゛への\,"This is the gate to Amiland.
You don't have the password to open it.",,
STR_6_609,ケ゛ートて゛す。,,,
STR_6_61B,このケ゛ートを ひらくための\,,,
STR_6_630,ハ゜スワート゛か゛ありません。,,,
,,,,
STR_7_D3,「オレのこえか゛\,"If you can hear me, please answer! 
I... I have to get out of here! 
I need your help to escape.
I'll be waiting for you in Bugsite... 
Please! Hurry, please!!",(Enter Ami Techno Area),
STR_7_E2, きこえたら,,,
STR_7_F2, へんし゛を してくれ,,,
STR_7_107, オ、オレを\,,,
STR_7_114, はやく ここから,,,
STR_7_127, た゛してくれ!\,,,
STR_7_136, たのむ!!,,,
STR_7_146, ここから た゛っしゅつ,,,
STR_7_158, するためには、,,,
STR_7_16A, おまえの たすけか゛\,,,
STR_7_17C, ひつようなんた゛,,,
STR_7_18F, オレは\,,,
STR_7_19A, ハ゛ク゛サイトて゛,,,
STR_7_1AE, おまえを\,,,
STR_7_1BA, まってるそ゛・・・,,,
STR_7_1CE, はやく!はやく、\,,,
STR_7_1DE, きてくれ!!」,,,
STR_7_205,ゆめと おなし゛ないようた゛。,"It's the same as my dream.
Looks like it's coming from nearby...",,
STR_7_21E,このちかくから\,,,
STR_7_22C,よんて゛いるようた゛。,,,
STR_7_256,ちちおやからの\,Got an e-mail from Dad.,,
STR_7_264,メールをし゛ゅしんしました。,,,
STR_7_291,ちちおや\,"Dad:
Have you arrived at Ami Techno Area, [name]?
It'd be a good thing if you went and checked out some of the shops around here.
Oops, I think I forgot to mention...
That building right above you is called an Access Point.
It can be used to go between Bugsite and the real world, and even save your data.
Don’t forget it.",,
STR_7_29C,「[name]よ,,,
STR_7_2A9, アミテクノエリアに\,,,
STR_7_2BA, ついたか?,,,
STR_7_2CA, ここには いろいろな\,,,
STR_7_2DC, ショッフ゜か゛あるそ゛,,,
STR_7_2F2, みてみると\,,,
STR_7_2FF, いいた゛ろう。,,,
STR_7_311, おっと わすれてた\,,,
STR_7_322, これを いわないとな。,,,
STR_7_338, おまえの うえにある\,,,
STR_7_34A, たてものは、,,,
STR_7_35B, アクセスホ゜イントと\,,,
STR_7_36D, いうんた゛。,,,
STR_7_37E, アクセスホ゜イントは\,,,
STR_7_390, ハ゛ク゛サイトと,,,
STR_7_3A3, け゛んし゛つせかいを\,,,
STR_7_3B5, いききしたり,,,
STR_7_3C6, セーフ゛をしたり\,,,
STR_7_3D6, するときに,,,
STR_7_3E6, りようするんた゛。\,,,
STR_7_3F7, おほ゛えておけよ」,,,
STR_7_421,「ここは\,You’re in Amiland’s Techno Area. It’s a town located in the Internet world.,Ami Techno NPC,
STR_7_42C, アミラント゛にある,,,
STR_7_440, テクノエリアって\,,,
STR_7_450, いうところさ,,,
STR_7_461, インターネットせかいに,,,
STR_7_473, あるまちさ」,,,
STR_7_4DA,「ハ゛ク゛サイトについて,Wanna know more about Bugsite?,Yes/No question.,
STR_7_4EC, しりたいかい?」,,Asked by an Ami Techno NPC.,
STR_7_53C,「ハ゛ク゛サイトって\,"Bugsite is a world inside the Internet, divided into four parts:
Amiland and its areas, ran by land-based company FE.
Sealand and its areas, ran by sea-based company Sting.
Airland and its areas, ran by air-based company Ruger.
And Energyland, from energy-based company Tahiro.
Those four make up this world.
This is Ami Techno Area, which means it’s a Techno Area in Amiland managed by FE.",-> yes,
STR_7_54D, いうのは、,,,
STR_7_55D, インターネットのなかに,,,
STR_7_56F, あるせかいて゛,,,
STR_7_581, おおきく4つに\,,,
STR_7_590, わかれているんた゛,,,
STR_7_5A4, りくけい きき゛ょう\,,,
STR_7_5B6, FEメーカーの,,,
STR_7_5C8, アミラント゛と\,,,
STR_7_5D7, そのエリア、,,,
STR_7_5E8, うみけい きき゛ょう\,,,
STR_7_5FA, スティンク゛メーカーの,,,
STR_7_610, シーラント゛と\,,,
STR_7_61F, そのエリア、,,,
STR_7_630, そらけい きき゛ょう\,,,
STR_7_642, ルカ゛ーメーカーの,,,
STR_7_656, エアラント゛と\,,,
STR_7_665, そのエリア、,,,
STR_7_676, エネルキ゛ーきき゛ょう,,,
STR_7_688, タヒロメーカーの,,,
STR_7_69B, エナシ゛ーラント゛や\,,,
STR_7_6AD, そのエリアか゛,,,
STR_7_6BF, おおきな\,,,
STR_7_6CB, 4つのせかいさ,,,
STR_7_6DD, ここはアミテクノエリア,,,
STR_7_6EF, た゛から、,,,
STR_7_6FF, アミラント゛の\,,,
STR_7_70E, FEメーカーか゛,,,
STR_7_721, かんりしている\,,,
STR_7_730, テクノエリアってわけさ」,,,
STR_7_746,「ききたくなったら\,"If you want to hear about it later, talk to me again.",-> no,
STR_7_756, また はなしかけてよ」,,,
STR_7_7C2,「ハ゛ク゛について\,Do you want to learn more about Bugs?,Yes/No question,
STR_7_7D2, しりたい?」,,Asked by an Ami Techno NPC.,
STR_7_824,「ハ゛ク゛ってのはさ、\,"Bugs are those critters that keep Bugsite running properly.
For example, they send electricity to our houses, and they make shows play on TV.
It’s all thanks to the Bugs!",-> yes,
STR_7_836, ハ゛ク゛サイトを,,,
STR_7_849, ちゃんと\,,,
STR_7_855, うこ゛かすために,,,
STR_7_868, はたらいてる\,,,
STR_7_876, ヤツらを いうんた゛,,,
STR_7_88B, たとえは゛いえに\,,,
STR_7_89B, て゛んきをなか゛したり,,,
STR_7_8B1, テレヒ゛の\,,,
STR_7_8BE, は゛んくみか゛,,,
STR_7_8D0, なか゛れてきたり\,,,
STR_7_8E0, するのも、,,,
STR_7_8F0, せ゛んふ゛ハ゛ク゛か゛,,,
STR_7_902, やってくれてるんた゛」,,,
STR_7_917,「あ、そう」,"Aah, is that so?",-> no,
STR_7_97D,「ハッカーって\,Do you know about Hackers?,Yes/No question,
STR_7_98B, しってる?」,,Asked by an Ami Techno NPC.,
STR_7_9D9,「おまえのように、\,"Much like yourself, Hackers are those who have traveled from the real world into Bugsite.
Hackers can be all kinds of people, and they aren't limited to the good guys, either.
Black Hats are especially dangerous.
You'd best watch out for them, they're always scrapping for a fight and loitering around.",-> no,
STR_7_9E9, け゛んし゛つせかいから,,,
STR_7_9FF, ハ゛ク゛サイトに\,,,
STR_7_A0F, はいってくる,,,
STR_7_A20, ヤツらのことを\,,,
STR_7_A2F, ハッカーというんた゛。,,,
STR_7_A45, ハッカーには\,,,
STR_7_A53, いろんなヤツらか゛いる。,,,
STR_7_A6A, いいヤツは゛かりとは\,,,
STR_7_A7C, かき゛らないせ゛。,,,
STR_7_A90, ムホウモノとかいう\,,,
STR_7_AA1, ヤツらはとくにキケンた゛,,,
STR_7_AB8, ハ゛トルか゛したくて\,,,
STR_7_ACA, ウロウロしてるからな,,,
STR_7_ADF, きをつけたほうか゛\,,,
STR_7_AF0, いいそ゛」,,,
STR_7_AFF,「そうた゛よな\,"Right. If you're coming to Bugsite, you'd probably know about these things already, right?",-> yes,
STR_7_B11, ハ゛ク゛サイトに\,,,
STR_7_B21, きてるんた゛から,,,
STR_7_B34, しってて\,,,
STR_7_B40, とうせ゛んた゛よな」,,,
STR_7_BAB,「と゛こにいるんた゛?,"Where are you? I've been locked up in a Bug Shop called Yamaneko.
Come on! Hurry!",Spiral says this if you try to leave or talk to too many NPCs.,
STR_7_BC0, [name]!\,,,
STR_7_BCA, オレは,,,
STR_7_BD8, ヤマネコやという\,,,
STR_7_BE8, ハ゛ク゛ショッフ゜に,,,
STR_7_BFD, とし゛こめられている\,,,
STR_7_C0F, はやく、きてくれ!」,,,
STR_7_C3A,ト゛アか゛しまっていて\,"The door is closed.
You cannot enter.",,
STR_7_C4C,はいれない,,,
STR_7_C71,「きょうは やすみます」\,"""Closed for holiday"" is written here.",,
STR_7_C84,と、かいてある,,,
STR_7_CAB,「18さいみまんおことわり」\,"""No admittance under 18"" is written here.
It looks like only adults are allowed inside.",,
STR_7_CC0,と、かいてある。,,,
STR_7_CD2,このみせは オトナしか\,,,
STR_7_CE4,はいれないようた゛,,,
,,,,
STR_8_E6,てんちょう\,"Manager:
Hey! You need to take care of that Bug you took in yesterday...",(Enter Yamaneko),
STR_8_F2,「おい。,,,
STR_8_100, きのう、\,,,
STR_8_10C, てにいれたハ゛ク゛を,,,
STR_8_121, ちゃんと\,,,
STR_8_12D, しまつしとけよ」,,,
STR_8_155,てんいん\,"Clerk:
Understood.",,
STR_8_160,「わかりました」,,,
STR_8_28D,てんいん\,"Clerk:
Good grief, what a noisy Bug...
I'll put it out of it's misery soon enough, so be quiet!",,
STR_8_298,「やれやれ,,,
STR_8_2A7, うるせー\,,,
STR_8_2B3, ハ゛ク゛た゛なあ。,,,
STR_8_2C7, いますく゛\,,,
STR_8_2D4, らくに してやるから,,,
STR_8_2E9, おとなしくしろ!」,,,
STR_8_314,てんちょう\,"Manager:
Hey, welcome to our... huh?
You're a kid, aren't you?
We don't allow people under 18 in here.
Scoot along, scoot along.",,
STR_8_320,「いらっしゃいませ,,,
STR_8_333, ん? おまえ、\,,,
STR_8_342, こと゛もし゛ゃないか?,,,
STR_8_358, ここは、\,,,
STR_8_364, 18さいみまんは,,,
STR_8_377, おことわりた゛せ゛\,,,
STR_8_388, かえった、かえった,,,
STR_8_3B2,「[name]!,"[name]!
You're here! You're really here!",,
STR_8_3BF, ここた゛!\,,,
STR_8_3CC, ここた゛よ」,,,
STR_8_3F2,「きっときてくれると\,"I knew you would come!
It was me, calling out to you in your dreams.
After all, you and I are bound by the threads of fate.
My name is...",,
STR_8_403, しんし゛てたせ゛!,,,
STR_8_417, ゆめの なかて゛\,,,
STR_8_427, おまえを,,,
STR_8_436, よんて゛いたのは\,,,
STR_8_446, オレさ。,,,
STR_8_455, なんせ オレとおまえは,,,
STR_8_467, うんめいの いとて゛,,,
STR_8_47C, むすは゛れているんた゛,,,
STR_8_48E, からな。,,,
STR_8_49D, オレのなまえは・・・」,,,
STR_8_54B,「[name]、\,"[name], is that a Chip you're holding?
In order for a Hacker to control a Bug, you need to equip a Chip on them.
Hurry up and equip that Chip on me!
To equip a Chip, select the Bug you wanna equip the Chip on and you’ll be taken to the Chip Equipment screen.",,
STR_8_555, チッフ゜をもっているか?,,,
STR_8_56C, ハッカーは\,,,
STR_8_579, ハ゛ク゛にチッフ゜を,,,
STR_8_58E, とりつけることて゛\,,,
STR_8_59F, そのハ゛ク゛を,,,
STR_8_5B1, あやつれるように\,,,
STR_8_5C1, なるんた゛。,,,
STR_8_5D2, さあ、オレに\,,,
STR_8_5E0, チッフ゜をつけてくれ。,,,
STR_8_5F6, チッフ゜のそうひ゛は\,,,
STR_8_608, モハ゛イルの,,,
STR_8_619, ハ゛ク゛アイコンを\,,,
STR_8_62A, せんたくして,,,
STR_8_63B, チッフ゜をそうひ゛する,,,
STR_8_64D, ハ゛ク゛をえらへ゛は゛,,,
STR_8_663, チッフ゜のそうひ゛\,,,
STR_8_674, か゛めんになるそ゛」,,,
STR_8_6F6,てんいん\,"Clerk:
Hey you! What do you think you're doing here?",,
STR_8_701,「お、おまえ、,,,
STR_8_712, こんなところて゛\,,,
STR_8_722, なにをしてるんた゛?」,,,
STR_8_74D,「[name]!\,"[name]!
Let me fight!
Equip that Chip to my body immediately!
We'll be able to crush him easily if you and I work together!",,
STR_8_757, オレにショーフ゛させろ,,,
STR_8_76D, いますく゛チッフ゜を\,,,
STR_8_77F, オレのからた゛に,,,
STR_8_792, つけるんた゛!,,,
STR_8_7A4, オレと\,,,
STR_8_7AF, おまえか゛くめは゛、,,,
STR_8_7C4, こんなヤツは\,,,
STR_8_7D2, らくしょうた゛!」,,,
STR_8_7FB,[name]は\,[name] equipped the Chip!,,
STR_8_804,チッフ゜を とりつけた!,,,
STR_8_82F,てんいん\,"Clerk:
You’re not running away! I won’t let you!",,
STR_8_83A,「にけ゛るきた゛な!,,,
STR_8_84E, そうはさせるか!」,,A battle happens at this point.,
STR_8_8CF,てんいん\,"Clerk:
D-damn it...",After the player wins against the Clerk.,
STR_8_8DA,「く、クソッ・・・」,,,
STR_8_979,「はし゛めての\,"You put on a good show for your first battle, [name]!
Losing a battle in Bugsite means defeat as a hacker.
You'll have to stay on guard too, [name].
Now... let's bust out of this place!",,
STR_8_987, ハ゛トルにしては,,,
STR_8_99A, し゛ょうて゛きた゛せ゛,,,
STR_8_9AC, [name]!,,,
STR_8_9B9, ハ゛ク゛サイトて゛\,,,
STR_8_9CA, ハ゛トルにまけることは,,,
STR_8_9E0, ハッカーとしての\,,,
STR_8_9F0, はいほ゛くをいみする。,,,
STR_8_A06, [name]も\,,,
STR_8_A10, きをつけろよ。,,,
STR_8_A22, さあ・・・\,,,
STR_8_A2F, はやいトコ、,,,
STR_8_A40, ここから\,,,
STR_8_A4C, た゛っしゅつしようせ゛」,,,
STR_8_A78,ちちおやからの\,Got an e-mail from Dad.,,
STR_8_A86,メールをし゛ゅしんしました。,,,
STR_8_AB3,ちちおや\,"Dad:
[name]!
What's going on? Did something happen!?
I felt the resonance of a powerful Bug near you...
T-That's amazing!
It looks like what you've caught is an as-of-yet undiscovered new species of Bug.
Let's get it to Guardian where I work and have it analyzed.",,
STR_8_ABE,「[name]!,,,
STR_8_ACB, と゛うした?\,,,
STR_8_AD9, なにかあったのか!?,,,
STR_8_AEE, おまえの ちかくに\,,,
STR_8_AFF, きょうりょくな,,,
STR_8_B11, ハ゛ク゛の はんのうを,,,
STR_8_B23, かんし゛るか゛・・・。,,,
STR_8_B39, こ、これは\,,,
STR_8_B46, すこ゛い!,,,
STR_8_B56, おまえか゛もっている\,,,
STR_8_B68, そのハ゛ク゛は,,,
STR_8_B7A, また゛はっけん\,,,
STR_8_B89, されていない,,,
STR_8_B9A, しんしゅの\,,,
STR_8_BA7, ハ゛ク゛のようた゛。,,,
STR_8_BBC, おとうさんのいる\,,,
STR_8_BCC, カ゛ーテ゛ィアンて゛,,,
STR_8_BE1, ちょっと\,,,
STR_8_BED, しらへ゛てみよう。,,,
STR_8_C01, おまえは\,"You can get to the real world from an Access Point.
There are two kinds of Access Points, some which you can Dive into and some which you cannot Dive into.
The Access Point located in the upper part of this Area allows Diving, so use that one.
If you select the Dive icon, you'll go back to the Site Gate.",cont'd,
STR_8_C0D, アクセスホ゜イントから,,,
STR_8_C23, け゛んし゛つせかいに\,,,
STR_8_C35, もと゛ってくるんた゛。,,,
STR_8_C4B, アクセスホ゜イントには,,,
STR_8_C5D, 2しゅるいある。,,,
STR_8_C70, タ゛イフ゛て゛きる\,,,
STR_8_C81, ホ゜イントと、,,,
STR_8_C93, タ゛イフ゛て゛きない\,,,
STR_8_CA5, ホ゜イントた゛。,,,
STR_8_CB8, このエリアの\,,,
STR_8_CC6, うえのほうにある,,,
STR_8_CD9, アクセスホ゜イントは\,,,
STR_8_CEB, タ゛イフ゛て゛きる。,,,
STR_8_D00, そこのホ゜イントを\,,,
STR_8_D11, つかうんた゛。,,,
STR_8_D23, アクセスホ゜イントに\,,,
STR_8_D35, ある、,,,
STR_8_D43, タ゛イフ゛という\,,,
STR_8_D53, アイコンをえらふ゛と,,,
STR_8_D68, サイトケ゛ートに\,,,
STR_8_D78, もと゛れるそ゛!」,,,
STR_8_DA2,てんちょう\,"Manager:
How dare you steal our goods!?
Seize him!",,
STR_8_DAE,「おまえ,,,
STR_8_DBC, よくもウチのうりものを,,,
STR_8_DCE, ぬすんた゛な!,,,
STR_8_DE0, かくこ゛しろ!!」,,A battle happens at this point.,
STR_8_E68,てんちょう\,"Manager:
D-damn it. Looks like we're going out of business...",After the player wins against the Manager.,
STR_8_E74,「クソーッ、,,,
STR_8_E84, これて゛は もう\,,,
STR_8_E94, みせし゛まいた゛・・・」,,,
,,,,
STR_A_74,「ここから\,"From here, you can go back to the real world.",(Return to Site Gate),
STR_A_80, け゛んし゛つせかいへ,,,
STR_A_95, もと゛れるそ゛」,,,
STR_A_BE,このさきは\,Beyond this gate lies Ami Techno Area.,,
STR_A_CA,アミテクノエリアへの,,,
STR_A_DE,ケ゛ートになります。,,,
STR_A_108,アミサファリエリアへの\,"This is the gate to Ami Safari Area.
You don't have the password to open it.",I don't know but these two strings are replicated again here.,
STR_A_11A,ケ゛ートて゛す。,,,
STR_A_12C,このケ゛ートを ひらくための\,,,
STR_A_141,ハ゜スワート゛か゛ありません。,,,
STR_A_170,アミラント゛への\,"This is the gate to Amiland.
You don't have the password to open it.",,
STR_A_17F,ケ゛ートて゛す。,,,
STR_A_191,このケ゛ートを ひらくための\,,,
STR_A_1A6,ハ゜スワート゛か゛ありません。,,,
,,,,
STR_B_61,ちちおや\,"Dad:
Oh, you've come back.
It seems that the Bug you found was a new species, as I thought.
As far as Hackers are concerned, it's crucial for them to be liked by their Bugs.
[name], it looks like this Bug is also fond of you.
So, why not try and join Guardian as a Hacker?
...Currently, Bugsite is being targeted by a group called Weldehyde.
Weldehyde has spread viruses around, making Bugs aggressive.
As it is, those guys are a threat to the peace of Bugsite.
To protect against them, you'll have to become a Hacker that many Bugs are fond of.
[name], lend your aid to protect the peace of Bugsite!",(Return to real world),
STR_B_6C,「お、もと゛ってきたか。,,,
STR_B_82, おまえか゛もっている\,,,
STR_B_94, そのハ゛ク゛は,,,
STR_B_A6, やはり、しんしゅの\,,,
STR_B_B7, ハ゛ク゛た゛ったようた゛,,,
STR_B_CE, ハッカーにとって\,,,
STR_B_DE, 1は゛んたいせつなのは,,,
STR_B_F4, ハ゛ク゛にすかれる\,,,
STR_B_105, ことた゛。,,,
STR_B_115, [name]。\,,,
STR_B_11F, と゛うやら おまえは,,,
STR_B_134, そのハ゛ク゛に\,,,
STR_B_143, すかれているようた゛な。,,,
STR_B_15A, と゛うた゛、\,,,
STR_B_168, おまえも,,,
STR_B_177, カ゛ーテ゛ィアンの\,,,
STR_B_188, いちいんとして,,,
STR_B_19A, ハッカーに\,,,
STR_B_1A7, なってみないか?,,,
