Label,Japanese,English,Notes
STR_C9_79C,」,」,
STR_C9_7AE,RIGHT + 1,RIGHT + 1,
STR_C9_7C8,LEFT  ー 1,LEFT  - 1,
STR_C9_7E2,UP    +10,UP    +10,
STR_C9_7FC,DOWN  ー10,DOWN  -10,
STR_C9_816,B     END,B     END,
STR_C9_9E5,ハ゛ク゛センサーテスト,BugSensorTest,
STR_C9_A14,きょり ,Range,
STR_C9_B85,ケ゛ームオフ゜ション,GameOptions,
STR_C9_BB3,もし゛スヒ゜ート゛ ,Text Speed,
STR_C9_BD6,マッフ゜レホ゜ート ,MapReport ,
STR_C9_BF1,ON ,ON ,
STR_C9_BFD,OFF,OFF,
STR_C9_C11,こうか ,Effect,
STR_C9_C26,ON , ON ,
STR_C9_C32,OFF, OFF,
STR_C9_C46,ハ゛ーシ゛ョン ,Version ,
STR_C9_C5F,B ,B ,
STR_C9_C6A,A ,A ,
STR_C9_13A8,=,=,
STR_C9_148A,ハ゛トル,Battle,
STR_C9_1491,し゛ふ゛んのレヘ゛ル,YourLevel,
STR_C9_149E,みかた1,Ally1,
STR_C9_14A5,みかた2,Ally2,
STR_C9_14AC,みかた3,Ally3,
STR_C9_14B3, , ,
STR_C9_14B7,てきハッカー,EnemyHacker,
STR_C9_14C0, ,,
STR_C9_14C4, ,,
STR_C9_14C8, ,,
STR_C9_14CC,ちけい,Field,
STR_C9_14D2, ,,
STR_C9_14D6, ,,
STR_C9_14DA, ,Attack,
STR_C9_14DE,わさ゛せんたく いまはOFF,selection:  OFF,
STR_C9_14F5,ハ゛トル,Battle,
STR_C9_14FC,し゛ふ゛んのレヘ゛ル,YourLevel,
STR_C9_1509,みかた1,Ally1,
STR_C9_1510,みかた2,Ally2,
STR_C9_1517,みかた3,Ally3,
STR_C9_151E, , ,
STR_C9_1522,てきハッカー,EnemyHacker,
STR_C9_152B, ,,
STR_C9_152F, ,,
STR_C9_1533, ,,
STR_C9_1537,ちけい,Field,
STR_C9_153D, ,,
STR_C9_1541, ,,
STR_C9_1545, ,Attack,
STR_C9_1549,わさ゛せんたく いまはON,selection:  ON,
,,,
STR_CA_89,X,X,(Bug sensor w/ debug strings)
STR_CA_D9, Y, Y,
STR_CA_136,x,x,
STR_CA_17C, y, y,
STR_CA_1AA,DIST,DIST,
STR_CA_1D6,NXT ,NXT ,
STR_CA_214,IVT ,IVT ,
STR_CA_240,OLD ,OLD ,
STR_CA_26C,MES ,MES ,
STR_CA_298,OLD ,OLD ,
STR_CA_4C0,ハ゛ク゛ ,ハ゛ク゛ ,
STR_CA_4D3,を\みつけた!,を\みつけた!,
STR_CA_4E4,・,・,
STR_CA_4F2,・,・,
STR_CA_500,・,・,
STR_CA_546,ワクチンLV1を\,ワクチンLV1を\,
STR_CA_555,つかいますか?,つかいますか?,
STR_CA_597,ハ゛ク゛をつかまえた!,ハ゛ク゛をつかまえた!,
STR_CA_5AC,ケ゛ットしますか?\ ,ケ゛ットしますか?\ ,
STR_CA_60B,ハ゛ク゛ ,ハ゛ク゛ ,
STR_CA_61E,を\てにいれた!,を\てにいれた!,
STR_CA_637,ハ゛ク゛をもちきれないのて゛\あきらめました。,ハ゛ク゛をもちきれないのて゛\あきらめました。,
STR_CA_667,つかまえるのをやめました。,つかまえるのをやめました。,
STR_CA_685,と、おもったら,と、おもったら,
STR_CA_696,ワクチンLV1を\もっていなかった!,ワクチンLV1を\もっていなかった!,
STR_CA_6B9,と、おもったら\にけ゛られてしまった!,と、おもったら\にけ゛られてしまった!,
,,,
STR_CC_47,ハ゛トルフィールト゛,ハ゛トルフィールト゛,(Map names used in the debug menu's map check)
STR_CC_6E,はまへ゛,はまへ゛,
STR_CC_8F,し゛ゅうたくか゛い,し゛ゅうたくか゛い,
STR_CC_B5,こうえん,こうえん,
STR_CC_D6,はし,はし,
STR_CC_F5,やま,やま,
STR_CC_114,ふなつきは゛,ふなつきは゛,
STR_CC_137,そうこ,そうこ,
STR_CC_157,そうこと゛おり,そうこと゛おり,
STR_CC_17B, , ,
STR_CC_199, , ,
STR_CC_1B7,リヒ゛ンク゛,リヒ゛ンク゛,
STR_CC_1DA,し゛ふ゛んのへや,し゛ふ゛んのへや,
STR_CC_1FF,しょさい,しょさい,
STR_CC_220,こうてい,こうてい,
STR_CC_241,ほうそうしつ,ほうそうしつ,
STR_CC_264,あんてなと゛うり,あんてなと゛うり,
STR_CC_289,ほうそうセンター,ほうそうセンター,
STR_CC_2AE,くみあい,くみあい,
STR_CC_2D8,アミラント゛,アミラント゛,
STR_CC_30E,サファリエリア,サファリエリア,
STR_CC_33B,ほ゛くし゛ょう,ほ゛くし゛ょう,
STR_CC_368, , ,
STR_CC_399,た゛い1ヒ゛ル,た゛い1ヒ゛ル,
STR_CC_3D0,た゛い1ヒ゛ル,た゛い1ヒ゛ル,
STR_CC_407,た゛い2ヒ゛ル,た゛い2ヒ゛ル,
STR_CC_43E,た゛い2ヒ゛ル,た゛い2ヒ゛ル,
STR_CC_475,た゛い2ヒ゛ル,た゛い2ヒ゛ル,
STR_CC_4AC,た゛い2ヒ゛ル,た゛い2ヒ゛ル,
STR_CC_4E3,た゛い2ヒ゛ル,た゛い2ヒ゛ル,
STR_CC_51A,た゛い2ヒ゛ル,た゛い2ヒ゛ル,
STR_CC_551,た゛い2ヒ゛ル,た゛い2ヒ゛ル,
STR_CC_588,た゛い3ヒ゛ル,た゛い3ヒ゛ル,
STR_CC_5BF,た゛い3ヒ゛ル,た゛い3ヒ゛ル,
STR_CC_5F6,た゛い3ヒ゛ル,た゛い3ヒ゛ル,
STR_CC_62D,た゛い3ヒ゛ル,た゛い3ヒ゛ル,
STR_CC_664,シーラント゛,シーラント゛,
STR_CC_69A,サファリエリア,サファリエリア,
STR_CC_6D1,ようしょくし゛ょう,ようしょくし゛ょう,
STR_CC_700,リソ゛ートエリア,リソ゛ートエリア,
STR_CC_738, , ,
STR_CC_769, , ,
STR_CC_790,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_7CA,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_804,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_835,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_86F,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_8A9,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_8DA,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_90B,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_93C,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_96D, , ,
STR_CC_99D,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_9D7,かいていタ゛ンシ゛ョン,かいていタ゛ンシ゛ョン,
STR_CC_A08, , ,
STR_CC_A2F, , ,
STR_CC_A56,ホ゛スのへや,ホ゛スのへや,
STR_CC_A82, , ,
STR_CC_AA9, , ,
STR_CC_AD0,きたのはし,きたのはし,
STR_CC_B05,エアーラント゛,エアーラント゛,
STR_CC_B3C,サファリエリア,サファリエリア,
STR_CC_B69,しゅりょうし゛ょう,しゅりょうし゛ょう,
STR_CC_B98, , ,
STR_CC_BBF,くうちゅうろうか,くうちゅうろうか,
STR_CC_BED,ロッシュのへや,ロッシュのへや,
STR_CC_C1A,ホ゛スのへや,ホ゛スのへや,
STR_CC_C46,ワッハッハのへや,ワッハッハのへや,
STR_CC_C74,ルカ゛ータ゛ンシ゛ョン,ルカ゛ータ゛ンシ゛ョン,
STR_CC_CB7,ルカ゛ータ゛ンシ゛ョン,ルカ゛ータ゛ンシ゛ョン,
STR_CC_CFA,ルカ゛ータ゛ンシ゛ョン,ルカ゛ータ゛ンシ゛ョン,
STR_CC_D3D,ルカ゛ータ゛ンシ゛ョン,ルカ゛ータ゛ンシ゛ョン,
STR_CC_D80,ルカ゛ータ゛ンシ゛ョン,ルカ゛ータ゛ンシ゛ョン,
STR_CC_DB1, , ,
STR_CC_DD8, , ,
STR_CC_DFF,エナシ゛ーラント゛,エナシ゛ーラント゛,
STR_CC_E38,サファリエリア,サファリエリア,
STR_CC_E6F, , ,
STR_CC_E96, , ,
STR_CC_EBD, , ,
STR_CC_EE4,シールト゛,シールト゛,
STR_CC_F0F,シールト゛,シールト゛,
STR_CC_F3A,シールト゛,シールト゛,
STR_CC_F65,シールト゛,シールト゛,
STR_CC_F90,シールト゛,シールト゛,
STR_CC_FBB, , ,
STR_CC_FE2, , ,
STR_CC_1009,きょた゛いしゅうせきろ,きょた゛いしゅうせきろ,
STR_CC_1044,きょた゛いしゅうせきろ,きょた゛いしゅうせきろ,
STR_CC_1075,きょた゛いしゅうせきろ,きょた゛いしゅうせきろ,
STR_CC_10A6,きょた゛いしゅうせきろ,きょた゛いしゅうせきろ,
STR_CC_10D7,タ゛ークキャッスル,タ゛ークキャッスル,
STR_CC_1110,タ゛ークキャッスル,タ゛ークキャッスル,
STR_CC_1149,タ゛ークキャッスル,タ゛ークキャッスル,
STR_CC_1182,タ゛ークキャッスル,タ゛ークキャッスル,
STR_CC_11BB,タ゛ークキャッスル,タ゛ークキャッスル,
STR_CC_11F4,タ゛ークキャッスル,タ゛ークキャッスル,
STR_CC_122D,タ゛ークキャッスル,タ゛ークキャッスル,
STR_CC_1266, , ,
STR_CC_1297, , ,
STR_CC_12C8, , ,
STR_CC_12F0,テクノエリア,テクノエリア,
STR_CC_131D,フ゛ラックエリア,フ゛ラックエリア,
STR_CC_134C,ワクチンや,ワクチンや,
STR_CC_1378,チッフ゜や,チッフ゜や,
STR_CC_13A4,ハ゛ク゛や,ハ゛ク゛や,
STR_CC_13D0,18キンや,18キンや,
STR_CC_13FC,カ゛ーテ゛ィアンほんふ゛,カ゛ーテ゛ィアンほんふ゛,
STR_CC_1438,アミラント゛ハ゛ク゛や,アミラント゛ハ゛ク゛や,
STR_CC_1473,アミラント゛ハ゛ク゛や,アミラント゛ハ゛ク゛や,
STR_CC_14AE,サイト゛ケ゛ート4,サイト゛ケ゛ート4,
STR_CC_14E7,サイト゛ケ゛ート3,サイト゛ケ゛ート3,
STR_CC_1520,サイト゛ケ゛ート2,サイト゛ケ゛ート2,
STR_CC_1559,サイト゛ケ゛ート1,サイト゛ケ゛ート1,
STR_CC_1589,ヒ゛キ゛ナーハウス,ヒ゛キ゛ナーハウス,
,,,
STR_CE_36F, α VERSION, α VERSION,(Title screen)
STR_CE_382, β VERSION, β VERSION,
STR_CE_3A6,PUSH START,PUSH START,
STR_CE_477, α VERSION, α VERSION,
STR_CE_48A, β VERSION, β VERSION,
STR_CE_4C0,つつ゛きから,Continue,
STR_CE_4E0,はし゛めから,New Game,
,,,"(Chip descriptions) – Currently not using a vwf, so it will be limited to 17-char per line. A proper translation will be left on this column."
STR_DC_355,FEせいのチッフ゜,FE chip for,FE-made chip for beginners.
STR_DC_364,\,\,
STR_DC_36B,しょしんしゃむけ,beginners.,
STR_DC_37B,FEせいのチッフ゜,FE chip.,FE-made chip with average performance.
STR_DC_38A,\,\,
STR_DC_391,せいのうは そこそこ,Mid performance.,
STR_DC_3A3,FEせいのチッフ゜,FE chip.,FE-made chip with fairly good performance.
STR_DC_3B2,\,\,
STR_DC_3B9,なかなかの せいのう,High performance.,
STR_DC_3CB,FEせいのチッフ゜,FE chip.,FE-made chip. Cannot be used at Rank B.
STR_DC_3DA,\,\,
STR_DC_3E1,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_3F6,FEのさいこうひん,FE’s best.,FE’s finest offering. Cannot be used at Rank B.
STR_DC_405,\,\,
STR_DC_40C,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_421,スティンク゛せいのチッフ゜,Sting chip for,Sting-made chip for beginners.
STR_DC_434,\,\,
STR_DC_43B,しょしんしゃむけ,beginners.,
STR_DC_44B,スティンク゛せいのチッフ゜,Sting chip.,Sting-made chip with average performance.
STR_DC_45E,\,\,
STR_DC_465,せいのうは そこそこ,Mid performance.,
STR_DC_477,スティンク゛せいのチッフ゜,Sting chip.,Sting-made chip with fairly good performance.
STR_DC_48A,\,\,
STR_DC_491,なかなかの せいのう,High performance.,
STR_DC_4A3,スティンク゛せいのチッフ゜,Sting chip.,Sting-made chip. Cannot be used at Rank B.
STR_DC_4B6,\,\,
STR_DC_4BD,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_4D2,スティンク゛のさいこうひん,Sting’s best.,Sting’s finest offering. Cannot be used at Rank B.
STR_DC_4E5,\,\,
STR_DC_4EC,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_501,ルカ゛ーせいのチッフ゜,Ruger chip for,Ruger-made chip for beginners.
STR_DC_512,\,\,
STR_DC_519,しょしんしゃむけ,beginners.,
STR_DC_529,ルカ゛ーせいのチッフ゜,Ruger chip.,Ruger-made chip with average performance.
STR_DC_53A,\,\,
STR_DC_541,せいのうは そこそこ,Mid performance.,
STR_DC_553,ルカ゛ーせいのチッフ゜,Ruger chip.,Ruger-made chip with fairly good performance.
STR_DC_564,\,\,
STR_DC_56B,なかなかの せいのう,High performance.,
STR_DC_57D,ルカ゛ーせいのチッフ゜,Ruger chip.,Ruger-made chip. Cannot be used at Rank B.
STR_DC_58E,\,\,
STR_DC_595,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_5AA,ルカ゛ーのさいこうひん,Ruger’s best.,Ruger’s finest offering. Cannot be used at Rank B.
STR_DC_5BB,\,\,
STR_DC_5C2,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_5D7,タヒロせいのチッフ゜,Tahiro chip for,Tahiro-made chip for beginners.
STR_DC_5E7,\,\,
STR_DC_5EE,しょしんしゃむけ,beginners.,
STR_DC_5FE,タヒロせいのチッフ゜,Tahiro chip.,Tahiro-made chip with average performance.
STR_DC_60E,\,\,
STR_DC_615,せいのうは そこそこ,Mid performance.,
STR_DC_627,タヒロせいのチッフ゜,Tahiro chip.,Tahiro-made chip with fairly good performance.
STR_DC_637,\,\,
STR_DC_63E,なかなかの せいのう,High performance.,
STR_DC_650,タヒロせいのチッフ゜,Tahiro chip.,Tahiro-made chip. Cannot be used at Rank B.
STR_DC_660,\,\,
STR_DC_667,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_67C,タヒロのさいこうひん,Tahiro’s best.,Tahiro’s finest offering. Cannot be used at Rank B.
STR_DC_68C,\,\,
STR_DC_693,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_6A8,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip with low performance.
STR_DC_6BA,\,\,
STR_DC_6C1,せいのうは ひくい,Low performance.,
STR_DC_6D2,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases attack.
STR_DC_6E4,\,\,
STR_DC_6EB,こうけ゛きか゛アッフ゜,Raises attack.,
STR_DC_6FE,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases speed.
STR_DC_710,\,\,
STR_DC_717,すは゛やさか゛アッフ゜,Raises speed.,
STR_DC_72A,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases special.
STR_DC_73C,\,\,
STR_DC_743,とくしゅか゛アッフ゜,Raises special.,
STR_DC_755,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases all stats.
STR_DC_767,\,\,
STR_DC_76E,せ゛んたいてきにアッフ゜,Raises all stats.,
STR_DC_782,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases attack.
STR_DC_794,\,\,
STR_DC_79B,こうけ゛きか゛アッフ゜,Raises attack.,
STR_DC_7AE,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases speed.
STR_DC_7C0,\,\,
STR_DC_7C7,すは゛やさか゛アッフ゜,Raises speed.,
STR_DC_7DA,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases special.
STR_DC_7EC,\,\,
STR_DC_7F3,とくしゅか゛アッフ゜,Raises special.,
STR_DC_805,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases all stats.
STR_DC_817,\,\,
STR_DC_81E,せ゛んたいてきにアッフ゜,Raises all stats.,
STR_DC_832,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases attack.
STR_DC_844,\,\,
STR_DC_84B,こうけ゛きか゛アッフ゜,Raises attack.,
STR_DC_85E,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases speed.
STR_DC_870,\,\,
STR_DC_877,すは゛やさか゛アッフ゜,Raises speed.,
STR_DC_88A,シ゛ャンクせいのチッフ゜,Jank chip.,Jank-made chip. Increases special.
STR_DC_89C,\,\,
STR_DC_8A3,とくしゅか゛アッフ゜,Raises special.,
STR_DC_8B5,たいねつきのうつき,Fire resistant.,Has heatproof properties. Cannot be used at Rank B.
STR_DC_8C4,\,\,
STR_DC_8CB,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_8E0,ほ゛うすいきのうつき,Water resistant.,Has waterproof properties. Cannot be used at Rank B.
STR_DC_8F0,\,\,
STR_DC_8F7,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_90C,たいて゛んきのうつき,Elec. resistant.,Has grounding properties. Cannot be used at Rank B.
STR_DC_91C,\,\,
STR_DC_923,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_938,ほ゛うふうきのうつき,Wind resistant.,Has windproof properties. Cannot be used at Rank B.
STR_DC_948,\,\,
STR_DC_94F,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_964,ホハ゛ーきのうつき,Allows hovering.,Has hovering properties. Cannot be used at Rank B.
STR_DC_973,\,\,
STR_DC_97A,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_98F,すへ゛てにたいせいか゛つく,Fully resistant.,Has all-around resisting properties. Cannot be used at Rank B.
STR_DC_9A2,\,\,
STR_DC_9A9,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_9BE,けいけんちか゛おおめになる,Gives more Exp.,Gives more Exp. Points. Cannot be used at Rank B.
STR_DC_9D1,\,\,
STR_DC_9D8,Bきゅうて゛はあつかえない,Not for Rank B.,
STR_DC_9ED,さいきょうのチッフ゜,Strongest chip.,The strongest chip. Cannot be used at Rank B.
STR_DC_9FD,\,\,
STR_DC_A04,Bきゅうて゛はあつかえない,Not for Rank B.,
,,,"(Item descriptions) – Currently not using a vwf, so it will be limited to 17-char per line. A proper translation will be left on this column."
STR_DD_565,アクセスホ゜イントをつかわす゛に,Warps anywhere,Warps to any Land/Area without using an Access Point.
STR_DD_57B,\,\,
STR_DD_582,ラント゛・エリアにワーフ゜て゛きる,without an AP.,
STR_DD_59B,さいこ゛にセーフ゛した,Returns to last,Returns to the last saved Access Point.
STR_DD_5AC,\,\,
STR_DD_5B3,アクセスホ゜イントにもと゛れる,AP saved on.,
STR_DD_5CA,ウイルスを けしさる アイテム,Clears viruses to,An items that removes viruses. Used for capturing Bugs.
STR_DD_5DF,\,\,
STR_DD_5E6,ハ゛ク゛を つかまえるときにつかう,catch Bugs.,
STR_DD_5FF,ハ゛ク゛を つかまえるときにつかう,Catches Bugs bet-,Used for capturing Bugs. Better than Vaccine LV1.
STR_DD_616,\,\,
STR_DD_61D,ワクチンLV1より きょうりょく,ter than LV1.,
STR_DD_635,ハ゛ク゛を つかまえるときにつかう,Catches Bugs bet-,Used for capturing Bugs. Better than Vaccine LV2.
STR_DD_64C,\,\,
STR_DD_653,ワクチンLV2より きょうりょく,ter than LV2.,
STR_DD_66B,ハ゛ク゛を つかまえるときにつかう,Catches Bugs bet-,Used for capturing Bugs. Better than Vaccine LV3.
STR_DD_682,\,\,
STR_DD_689,ワクチンLV3より きょうりょく,ter than LV3.,
STR_DD_6A1,ハ゛ク゛を つかまえるときにつかう,Catches Bugs bet-,Used for capturing Bugs. Better than Vaccine LV4.
STR_DD_6B8,\,\,
STR_DD_6BF,ワクチンLV4より きょうりょく,ter than LV4.,
STR_DD_6D7,ハ゛ク゛を つかまえるときにつかう,Catches FE,Used for capturing Bugs. Exclusively for FE Maker Bugs.
STR_DD_6EE,\,\,
STR_DD_6F5,FEメーカーせんよう,Bugs exclusively.,
STR_DD_707,ハ゛ク゛を つかまえるときにつかう,Catches Sting,Used for capturing Bugs. Exclusively for Sting Maker Bugs.
STR_DD_71E,\,\,
STR_DD_725,スティンク゛メーカーせんよう,Bugs exclusively.,
STR_DD_73B,ハ゛ク゛を つかまえるときにつかう,Catches Ruger,Used for capturing Bugs. Exclusively for Ruger Maker Bugs.
STR_DD_752,\,\,
STR_DD_759,ルカ゛ーメーカーせんよう,Bugs exclusively.,
STR_DD_76D,ハ゛ク゛を つかまえるときにつかう,Catches Tahiro,Used for capturing Bugs. Exclusively for Tahiro Maker Bugs.
STR_DD_784,\,\,
STR_DD_78B,タヒロメーカーせんよう,Bugs exclusively.,
STR_DD_79E,ハ゛ク゛を つかまえるときにつかう,Catches Jank,Used for capturing Bugs. Exclusively for Jank Maker Bugs.
STR_DD_7B5,\,\,
STR_DD_7BC,シ゛ャンクメーカーせんよう,Bugs exclusively.,
STR_DD_7D1,と゛んなハ゛ク゛のウィルスも,Can remove virus-,Can remove viruses of any Bug.
STR_DD_7E5,\,\,
STR_DD_7EC,とりのそ゛くことか゛て゛きる,es of any Bug.,
STR_DD_802,みかた1たいのHPを,Small HP recovery,Slightly recovers HP of one ally.
STR_DD_812,\,\,
STR_DD_819,すこしかいふくする,for one ally.,
STR_DD_82A,みかた1たいのHPを,Big HP recovery,Greatly recovers HP of one ally.
STR_DD_83A,\,\,
STR_DD_841,かなりかいふくする,for one ally.,
STR_DD_852,みかた1たいのHPを,Full HP recovery,Fully recovers HP of one ally.
STR_DD_862,\,\,
STR_DD_869,かんせ゛んにかいふくする,for one ally.,
STR_DD_87D,みかた1たいの,Cures one ally’s,Recovers status ailments of one ally.
STR_DD_88A,\,\,
STR_DD_891,ステータスいし゛ょうをかいふく,status ailments.,
STR_DD_8A8,ハ゛トルフィールト゛を,Turns field into,Turns battlefield into FE Field.
STR_DD_8B9,\,\,
STR_DD_8C0,FEにする,FE Field.,
STR_DD_8CD,ハ゛トルフィールト゛を,Turns field into,Turns battlefield into Sting Field.
STR_DD_8DE,\,\,
STR_DD_8E5,スティンク゛にする,Sting Field.,
STR_DD_8F6,ハ゛トルフィールト゛を,Turns field into,Turns battlefield into Ruger Field.
STR_DD_907,\,\,
STR_DD_90E,ルカ゛ーにする。,Ruger Field.,
STR_DD_91E,ハ゛トルフィールト゛を,Turns field into,Turns battlefield into Tahiro Field.
STR_DD_92F,\,\,
STR_DD_936,タヒロにする,Tahiro Field.,
STR_DD_944,ハ゛トルフィールト゛を,Turns field into,Turns battlefield into Jank Field.
STR_DD_955,\,\,
STR_DD_95C,シ゛ャンクにする。,Jank Field.,
STR_DD_96D,てきのし゛ょうほうを,Learns info about,Learns information about enemies.
STR_DD_97D,\,\,
STR_DD_984,しることか゛て゛きる,foes.,
STR_DD_996,しようしたハ゛ク゛に,Grants Strike,Grants Strike resistance to the target Bug.
STR_DD_9A6,\,\,
STR_DD_9AD,た゛け゛きたいせいをつける,resistance.,
STR_DD_9C2,しようしたハ゛ク゛に,Grants Blade,Grants Blade resistance to the target Bug.
STR_DD_9D2,\,\,
STR_DD_9D9,さ゛んけ゛きたいせいをつける,resistance.,
STR_DD_9EF,しようしたハ゛ク゛に,Grants Fire,Grants Fire resistance to the target Bug.
STR_DD_9FF,\,\,
STR_DD_A06,ほのおたいせいをつける,resistance.,
STR_DD_A19,しようしたハ゛ク゛に,Grants Water,Grants Water resistance to the target Bug.
STR_DD_A29,\,\,
STR_DD_A30,みす゛・こおりたいせいをつける,resistance.,
STR_DD_A47,しようしたハ゛ク゛に,Grants Electric,Grants Electric resistance to the target Bug.
STR_DD_A57,\,\,
STR_DD_A5E,て゛んきたいせいをつける,resistance.,
STR_DD_A72,しようしたハ゛ク゛に,Grants Wind,Grants Wind resistance to the target Bug.
STR_DD_A82,\,\,
STR_DD_A89,かせ゛たいせいをつける,resistance.,
STR_DD_A9C,しようしたハ゛ク゛に,Grants Ground,Grants Ground resistance to the target Bug.
STR_DD_AAC,\,\,
STR_DD_AB3,し゛めんたいせいをつける,resistance.,
STR_DD_AC7,てきのハ゛ク゛1たいを,Paralyzes an,Paralyzes one enemy Bug.
STR_DD_AD8,\,\,
STR_DD_ADF,マヒさせる,enemy Bug.,
STR_DD_AEC,てきのハ゛ク゛1たいを,Confuses an,Confuses one enemy Bug.
STR_DD_AFD,\,\,
STR_DD_B04,こんらんさせる,enemy Bug.,
STR_DD_B13,てきのハ゛ク゛1たいを,Shuts down an,Shuts down one enemy Bug.
STR_DD_B24,\,\,
STR_DD_B2B,シャットタ゛ウンさせる,enemy Bug.,
STR_DD_B3E,てきのハ゛ク゛1たい,Puts an enemy,Puts one enemy Bug to sleep.
STR_DD_B4E,\,\,
STR_DD_B55,ねむらせる,Bug to sleep.,
STR_DD_B62,みかたのハ゛ク゛1たいの,Raises attack of,Raises attack of one allied Bug.
STR_DD_B74,\,\,
STR_DD_B7B,こうけ゛きりょくをアッフ゜,an allied Bug.,
STR_DD_B90,てきのハ゛ク゛1たいの,Lowers attack of,Lowers attack of one enemy Bug.
STR_DD_BA1,\,\,
STR_DD_BA8,こうけ゛きりょくをタ゛ウン,an enemy Bug.,
