Label,Japanese,English,Notes
NAME_4_1230,ヒ゜ホ゜ットク゛リフ,Ppot Glyph,
NAME_4_1270,コーナ,Corner,
NAME_4_12B0,ハ゛ークレイ,Berkeley,
NAME_4_12F0,ハ゜ット゛,Pad,
NAME_4_1330,ハ゜テ゛ィンク゛,Padding,
NAME_4_1370,ラスタ,Raster,As in the graphics type.
NAME_4_13B0,ミクスト,Mixed,
NAME_4_13F0,ローム,Rohm,Japanese electronics manufacturer
NAME_4_1430,ローレソ゛,Lowres,
NAME_4_1470,アック,Ack,As in acknowledge
NAME_4_14B0,アーカフ゛,Archiv,Probably shortened from archive.
NAME_4_14F0,セクタ,Sector,
NAME_4_1530,クラスタ,Cluster,
NAME_4_1570,トラック,Track,
NAME_4_15B0,アイト゛,Idle,"Shortened from ""idle"", should probably just call it idle"
NAME_4_15F0,アイト゛・タイマ,Idle Timer,
NAME_4_1630,アイト゛・インタ,Idle Inter,From inter(val)
NAME_4_1670,トラン,Tran,
NAME_4_16B0,トランサ゛,Toranza,
NAME_4_16F0,トランシ゛ェ,Toranje,
NAME_4_1730,シース,Cease,
NAME_4_1770,シスオヘ゜,SysOp,
NAME_4_17B0,シスアト゛,SysAd,
NAME_4_17F0,コーヒク゛,Cofig,From... config?
NAME_4_1830,フィルス,Fills,From.... files?
NAME_4_1870,テ゛ハ゛イ,Devi,From... divide?
NAME_4_18B0,ハ゛ッハ,Bach,From... back? (definitely Bach though)
NAME_4_18F0,タフ゛,Tab,
NAME_4_1930,マルーホ゛,Marubo,Who knows
NAME_4_1970,ロエン,Lowend,
NAME_4_19B0,ハイエン,Highend,
NAME_4_19F0,レイヤー,Layer,
NAME_4_1A30,レイトレー,Raytrace,
NAME_4_1A70,エクスリ,X3,Ecks...ree. X3.
NAME_4_1AB0,エクスエル,XL,
NAME_4_1AF0,ターフ゛レー,Tabley,
NAME_4_1B30,スキャニン,Scannin,
NAME_4_1B70,エヒ゛ー,AB,
NAME_4_1BB0,アヘ゛ント,Avent,Why though?
NAME_4_1BF0,シ゛ェイヘ゜,Jpg,"Technicalled ""jpe"", but I prefer Jpg."
NAME_4_1C30,エク゛シ゛,Exe,
NAME_4_1C70,テ゛ィーエー,DA,
NAME_4_1CB0,エクセー,XA,
NAME_4_1CF0,モシ゛ュー,Modu,
NAME_4_1D30,モーシ゛ュレ,Module,
NAME_4_1D70,コート゛,Code,
NAME_4_1DB0,テ゛コート゛,Decode,
NAME_4_1DF0,エンコート゛,Encode,
NAME_4_1E30,シーアイ,CI,
NAME_4_1E70,エルアイ,LI,
NAME_4_1EB0,フ゛イアイ,VI,
NAME_4_1EF0,クック,Cook,Possibly from an obscure audio codec. :S
NAME_4_1F30,クック・シ゛ッタ,Cook Jitter,
NAME_4_1F70,クック・シ゛ェネレ,Cook Gen,From generate
NAME_4_1FB0,テ゛フ゜レ,Depre,
NAME_4_1FF0,テラ,Tera,
NAME_4_2030,テ゛リミタ,Delimiter,
NAME_4_2070,メルラー,Mailror,"Pretty sure this is from ""mail"" and ""error"". "
NAME_4_20B0,メンテ,Mainte,Maintenance.
NAME_4_20F0,メルマーシ゛,Mailmerge,
NAME_4_2130,メルリータ゛,Mailreader,(Leader?)
NAME_4_2170,イリーシ゛,Illege,From illegal
NAME_4_21B0,ウイサ゛ー,Wizar,From wizard
NAME_4_21F0,ホ゛ー,Baud,"This is from baud (unit), but it's also the onamatopoeia for staring blankly and I wish we could convey that"
NAME_4_2230,タ゛イレ,Dir,
NAME_4_2270,タ゛イレク,Direct,
NAME_4_22B0,スフ゜ーラ,Spooler,
NAME_4_22F0,ライソ゛・スフ゜ーラ,Reso Spooler,Going with reso from resource.
NAME_4_2330,キャリー,Carry,
NAME_4_2370,キャリヒ゛ット,Carrybit,
NAME_4_23B0,シンク,Sync,
NAME_4_23F0,シンクロス,Synchros,
NAME_4_2430,カフ゜ラ,Coupler,
NAME_4_2470,オートタ゛イ,Autodial,
NAME_4_24B0,テレコース゛,Telecourse,
NAME_4_24F0,エラーメ,Errorme,"This is from ""error message"""
NAME_4_2530,フル・フ゜ルーフ,Foolproof,
NAME_4_2570,フェル・セーフ,Failsafe,
NAME_4_25B0,***@,***@,(wow)
NAME_4_25F0,***#,***#,
NAME_4_2630,***♪,***♪,
NAME_4_2670,***☆,***☆,
NAME_4_26B0,インテ゛ックス,Index,
NAME_4_26F0,イントルータ゛ー,Intruder,
NAME_4_2730,カースター,Castor,Could be from the CERN thing
NAME_4_2770,カーミット,Kermit,File transfer protocol
NAME_4_27B0,スハ゜イラル,Spiral,
NAME_4_27F0,スハ゜イラルTーα,Spiral T-α,
NAME_4_2830,スハ゜イラルTーα+,Spiral T-α+,
NAME_4_2870,フ゜ロムナート゛,Promenade,
NAME_4_28B0,ト゛メン,Domen,
NAME_4_28F0,ト゛メイン,Domain,
NAME_4_2930,ト゛メインスト,Domainst,
NAME_4_2970,スリーフ゜ス,Sleeps,
NAME_4_29B0,スリーフ゜マン,Sleepman,
NAME_4_29F0,ヒ゜クセール,Pixail,Sounds like pixel+sail.
NAME_4_2A30,スハ゜イラルTーβ,Spiral T-β,
NAME_4_2A70,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2AB0,スハ゜イラルTーβ+,Spiral T-β+,"(unused copies, I guess)"
NAME_4_2AF0,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2B30,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2B70,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2BB0,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2BF0,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2C30,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2C70,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2CB0,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2CF0,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2D30,スハ゜イラルTーβ+,Spiral T-β+,
NAME_4_2D70,,,
NAME_4_2DB0,,,
NAME_4_2DF0,,,
NAME_4_2E30,,,
NAME_4_2E70,,,
NAME_4_2EB0,,,
NAME_4_2EF0,,,
NAME_4_2F30,,,
NAME_4_2F70,,,
NAME_4_2FB0,,,
NAME_4_2FF0,,,
NAME_4_3030,,,
NAME_4_3070,,,
NAME_4_30B0,,,
NAME_4_30F0,,,
NAME_4_3130,,,
NAME_4_3170,,,
NAME_4_31B0,,,
NAME_4_31F0,,,
NAME_4_3230,,,
NAME_4_3270,,,
NAME_4_32B0,,,
NAME_4_32F0,,,
NAME_4_3330,,,
NAME_4_3370,,,
NAME_4_33B0,,,
NAME_4_33F0,,,
NAME_4_3430,,,
NAME_4_3470,,,
NAME_4_34B0,,,
NAME_4_34F0,,,
NAME_4_3530,,,
NAME_4_3570,,,
NAME_4_35B0,,,
NAME_4_35F0,,,
NAME_4_3630,,,
NAME_4_3670,,,
NAME_4_36B0,,,
NAME_4_36F0,,,
NAME_4_3730,,,
NAME_4_3770,,,
NAME_4_37B0,,,
NAME_4_37F0,,,
NAME_4_3830,,,
NAME_4_3870,,,
NAME_4_38B0,,,
NAME_4_38F0,,,
NAME_4_3930,,,
NAME_4_3970,,,
NAME_4_39B0,,,
NAME_4_39F0,,,
NAME_4_3A30,,,
NAME_4_3A70,,,
NAME_4_3AB0,,,
NAME_4_3AF0,,,
NAME_4_3B30,,,
NAME_4_3B70,,,
NAME_4_3BB0,,,
NAME_4_3BF0,,,
NAME_4_3C30,,,
NAME_4_3C70,,,
NAME_4_3CB0,,,
NAME_4_3CF0,,,
NAME_4_3D30,,,
NAME_4_3D70,,,
NAME_4_3DB0,,,
NAME_4_3DF0,,,
NAME_4_3E30,,,
NAME_4_3E70,,,
NAME_4_3EB0,,,
NAME_4_3EF0,,,
NAME_4_3F30,,,
NAME_4_3F70,,,
NAME_4_3FB0,,,
NAME_4_3FF0,,,
